年月日,摘要,支出,存入,結存,備註
1130701,跨行轉入,,"141070000944","$2,301,666","C7-7 11,406(11107)"
1130701,線銀轉帳,,"4,339","$2,339,509","保險函 4,339 C1-8 37,843(1097-1110)"
1130701,中華電信,,"239","$2,339,270","5641693"
1130701,跨行轉入,,"113","$2,360,220","113 下棚站 C1-9 20,950"
1130702,跨行轉入,,"A310","$2,367,313","√ 7,093"
1130702,跨行轉入,,"A210","$2,387,015","√5-12 19,702"
1130702,跨行轉入,,"143070000694","$2,405,264","A5-12 18,249"
1130702,跨行轉入,,"113","$2,418,423","113 下半管 C7-6 13,159"
1130703,跨行轉入,,"143070000654","$2,438,842","A1-11 20,419"
1130703,跨行轉入,,"143070000781","$2,454,019","B7-7 15,177"
1130703,卡片購入,0,8906,2462925,A5-2
1130703,跨行購入,0,18545,2481470,管理 D1-1
1130703,跨行購入,0,13308,2494778,刷卡管理 T5-1
1130703,現金購入,0,20976,2515754,D5-13
1130703,跨行購入,0,19266,2535020,DS-1
1130703,跨行購入,0,14625,2549645,管理 A6-1
1130703,跨行購入,0,18472,2568117,管理 A2-3
1130704,跨行購入,0,20000,2588117,D3-10 郵政保全
1130704,跨行購入,0,17166,2605283,B5-7
1130705,跨行購入,0,13680,2618963,B1-10 輔
1130705,跨行購入,0,12828,2631791,D5-14 補
1130705,跨行購入,0,15177,2646968,B7-2 輔振
1130705,台電電費,0,40712,2606256,06239070018
1130705,跨行購入,0,8533,2614789,14307000675 A3-6
1130705,跨行購入,0,14415,2629204,刷卡113 下 B3-14
1130708,跨行購入,0,16394,2645598,刷卡 2024 D3-8
1130708,跨行購入,0,12208,2657806,C9-2
1130708,跨行購入,0,16853,2674659,D2-14
1130708,跨行購入,0,25089,2699748,聯繫文管理 E1-13
1130708,跨行購入,0,17326,2717074,14307000771 B6-11
1130708,跨行購入,0,14119,2731193,14307000840 C7-7
1130708,跨行購入,0,2101,2733294,113 下管理 E1-12
1130708,跨行購入,0,13293,2746587,刷卡管理 7-1 S1-1
1130708,網路轉帳,0,19116,2765703,14307000912 DS-4
1130709,跨行轉入,,"15,357","2,781,060","C6-6"
1130709,跨行轉入,,"11,307","2,792,367","C6-7"
1130709,繳費,,"23,619","2,815,986","E1-5"
1130709,轉帳,,"25,114","2,841,100","E2-5"
1130709,匯出匯款,,"210,000","2,631,100","6月保全物業"
1130709,匯出匯款,,"103,800","2,527,300","6月清潔"
1130709,匯出匯款,,"16,000","2,511,300","6月機電"
1130709,匯出匯款,,"58,500","2,452,800","6月電梯"
1130709,匯出匯款,,"22,000","2,430,800","6月網路"
1130709,匯出匯款,,"4,830","2,425,970","儲值儲值卡機"
1130709,匯出匯款,,"17,878","2,408,092","6月機電修繕"
1130709,匯出匯款,,"58,500","2,349,592","12月電梯"
1130709,現金,,"4,618","2,344,974","6月零用金"
1130709,現金,,"10,885","2,334,089","5月零用金"
1130709,提款,,"13,039","2,347,128","C7-4"
1130709,匯入匯款,,"58,470","2,405,598","退日立水大器"
1130710,跨行轉入,,"16,557","2,422,155","B2-7"
1130710,跨行轉入,,"14,360","2,436,515","103棉城管C7-13"
1130710,跨行轉入,,"16,763","2,453,278","cocoonD2-9"
1130710,跨行轉入,,"17,809","2,471,087","棉城管理管A1-7"
1130711,現金,,"16,497","2,487,584","B7-6"
1130712,ATM存,,"15,669","2,503,253","A5-5"
1130712,網銀轉帳,,"27,549","2,530,802","E1...14"
1130712,匯出匯款,,"58,500","2,472,302","12月電梯"
1130712,匯出匯款,20.030,,"2452272",
1130715,儲存轉入,,"16797","2469069",B2-8
1130715,儲存轉入,,"15413","2484482",D2-13
1130715,儲存轉入,,"15207","2499689",C6-2
1130715,儲存轉入,,"14349","2514038",A5-10
1130715,現金,,"15477","2529515",B2-13
1130715,現金,,"9793","2539308",A3-12
1130715,現金,,"26199","2565507",E1-7
1130715,現金,,"23018","2588525",C2-11
1130715,儲存轉入,,"19069","2607594",A1-5
1130715,現金,,"12849","2620443",A5-7
1130715,現金,,"11143","2631586",A3-7
1130715,轉帳,,"6717","2638303",
1130715,轉帳,,"8078","2646381",
1130715,轉帳,,"8398","2654779",
1130715,轉帳,,"9578","2664357",
1130715,轉帳,,"9818","2674175",
1130715,轉帳,,"9898","2684073",
1130715,轉帳,,"13458","2697531",
1130715,轉帳,,"14119","2711650",
1130715,轉帳,,"14349","2725999",
1130715,轉帳,,"14415","2740414",
1130715,轉帳,,"14415","2754829",
1130715,轉帳,,"14655","2769484",
1130715,轉帳,14775,2784259,
2130715,轉帳,14880,2799139,
3130715,轉帳,15177,2814316,
4130715,轉帳,15297,2829613,
5130715,轉帳,15615,2845228,
6130715,轉帳,15634,2860862,
7130715,轉帳,15705,2876567,
8130715,轉帳,15735,2892302,
9130715,轉帳,15735,2908037,
10130715,轉帳,15825,2923862,
11130715,轉帳,16246,2940108,
12130715,轉帳,16369,2956477,
13130715,轉帳,16394,2972871,
14130715,轉帳,16613,2989484,
15130715,轉帳,16797,3006281,
16130715,轉帳,16984,3023285,
17130715,轉帳,17074,3040339,
18130715,轉帳,17075,3057414,
19130715,轉帳,17446,3074860,
20130715,轉帳,17446,3092306,
21130715,轉帳,17504,3109810,
22130715,轉帳,18131,3127941,
23130715,轉帳,18352,3146293,
24130715,轉帳,18742,3165035,
1130715,轉帳,14307000670,21.052,3186087,
1130715,轉帳,14307000923,26.199,3212286,
1130715,轉帳,14307000678,9.793,3222079,
1130715,轉帳,14307000841,14.479,3236558,
1130715,轉帳,14307000702,15.585,3252143,
1130715,跨行轉入,14307000790,18.276,3270419,
1130716,跨行轉入,14307000079,9.894,3280313,
1130716,台電電費,12.653,06239070030,,3267660,
1130716,台電電費,10.124,06239070063,,3257536,
1130716,台電電費,23.893,06239070096,,3233643,
1130716,台電電費,1.842,06239070121,,3231801,
1130716,台電電費,10.697,06239071019,,3221104,
1130716,台電電費,7.314,06239072010,,3213790,
1130716,台電電費,5.403,06239073011,,3208387,
1130716,台電電費,9.000,06239074012,,3199387,
1130716,台電電費,6.040,06239075013,,3193347,
1130716,台電電費,5.403,06239076014,,3187944,
1130716,台電電費,11.822,06239077015,,3176122,
1130716,台電電費,9.394,06239078016,,3166728,
1130716,台電電費,8.157,06239079017,21792,3158571,
1130716,提款,14307000911,19.476,3178047,
1130716,跨行轉入,14307000777,16.407,3194454,
1130717,提款,14307000836,14.239,3208693,
1130717,跨行轉入,14307000926,24.849,3233542,
1130718,儲存轉入,0,21.067,3254.609,24 管理費B C6-11
1130718,儲存轉入,0,15.717,3270.326,14307000727
1130718,現金,0,10.210,3280.536,14307000812
1130718,儲存轉入,0,22.329,3302.865,刷卡7月管理費 C7-11
1130719,現金,0,23.499,3326.364,E1-11
1130719,現金,0,1.000,3327.364,違規罰款
1130719,現金,0,3.900,3331.264,ETC收入
1130722,儲存轉入,0,15.120,3346.384,刷卡管理費 B1-12
1130722,儲存轉入,0,19.069,3365.453,14307000649
1130722,儲存轉入,0,14.538,3379.991,14307000815
1130722,儲存轉入,0,14.505,3394.496,14307000699
1130722,儲存轉入,0,17.689,3412.185,刷卡管理費 A1-1D
1130722,儲存轉入,0,23.764,3435.949,14307000939
1130722,網路轉帳,0,17.596,3453.545,1111 號14 B6-14
1130722,儲存轉入,0,20.976,3474.521,14307000913 D5-5
1130722,現金,0,14.926,3489.447,B6-6
1130722,儲存轉入,0,15.366,3504.813,刷卡D1-11 D1-11 (10807)
1130722,儲存轉入,0,16.733,3521.546,管理費 D2-6
1130722,網路轉帳,0,9.793,3531.339,14307000683
1130722,儲存轉入,0,20.706,3552.045,14307000918
1130723,儲存轉入,0,14.469,3566.514,14307000685
1130723,網路轉帳,0,20.000,3586.514,退稅
1130723,儲存轉入,0,18.405,3604.919,刷卡管理費 A6-6
1130723,網路轉帳,0,15.846,3620.765,14307000749
1130723, 跨行轉入, 管理費用, 20588, 3641353, C2-9
1130723, 跨行轉入, 143070000663, 19852, 3661205,
1130724, 跨行轉入, 113 轉帳 2, 15477, 3676682, B2-10
1130724, 跨行轉入, 143070000835, 14119, 3690801, D1-10
1130725, 跨行轉入, 7月管理費, 18515, 3709316, 
1130726, 跨行轉入, C2-5 管理, 11410, 3720726, 
1130726, 跨行轉入, 143070000707, 15825, 3736551, 
1130726, 跨行轉入, 143070000673, 13933, 3750484, 
1130726, 匯入匯款, 新竹振道有線, 2757, 3753241, 
1130726, 跨行轉入, E2-13, 25114, 3778355, 
1130726, 跨行轉入, 143070000943, 25474, 3803829, 
1130726, 跨行轉入, 143070000755, 14496, 3818325, 
1130726, 轉帳, 143070000741, 14535, 3832860, 
1130726, 轉帳, 143070000688, 15789, 3848649, 
1130726, 轉帳, 143070000966, 16200, 3864849, 
1130726, 轉帳, 143070000940, 25114, 3889963, 
1130726, 轉帳, 143070000957, 4305, 3894268, 
1130726, 轉帳, 143070000953, 7209, 3901477, 
1130726, 轉帳, 143070000744, 7962, 3909439, 
1130726, 轉帳, 143070000671, 11233, 3920672, 
1130726, 轉帳, 143070000838, 13039, 3933711, 
1130726, 轉帳, 143070000717, 13800, 3947511, 
1130726, 轉帳, 143070000698, 14385, 3961896, 
1130726, 轉帳, 143070000700, 14385, 3976281, 
1130726,轉帳,14.415,3990.696,
2,1130726,轉帳,14.505,4005.201,
3,1130726,轉帳,14.646,4019.847,
4,1130726,轉帳,15.327,4035.174,
5,1130726,轉帳,15.549,4050.723,
6,1130726,轉帳,16.853,4067.576,
7,1130726,轉帳,17.075,4084.651,
8,1130726,轉帳,17.326,4101.977,
9,1130726,轉帳,19.238,4121.215,
10,1130726,轉帳,19.717,4140.932,
11,1130726,轉帳,20.054,4160.986,
12,1130726,轉帳,20.980,4181.966,
13,1130726,轉帳,21.052,4203.018,
14,1130726,轉帳,22.570,4225.588,
15,1130726,轉帳,24.969,4250.557,
16,1130726,轉帳,25.209,4275.766,
17,1130726,轉帳,26.434,4302.200,
18,1130726,跨行轉入,8.398,4310.598,
19,1130726,跨行轉入,17.907,4328.505,
20,1130726,跨行轉入,14.533,4343.038,
21,1130729,跨行轉入,10.993,4354.031,
22,1130729,跨行轉入,15.699,4369.730,
23,1130729,跨行轉入,17.152,4386.882,
24,1130729,跨行轉入,25.114,4411.996,
1130729,網路轉帳,A 2-1 1 機號,17.272,,$4,429,268
1130729,跨行轉入,E 1-9,26.199,,$4,455,467
1130729,網路轉帳,143070000905,20.534,,$4,476,001
1130729,跨行轉入,143070000788,17.877,,$4,493,878
1130729,中車電信,769 5641692,,$4,493,109,
1130729,跨行轉入,143070000655,20.419,,$4,513,528
1130729,現金,143070000763,13.426,,$4,526,954
1130729,跨行轉入,143070000658,17.152,,$4,544,106
1130729,跨行轉入,143070000947,25.234,,$4,569,340
1130729,跨行轉入,143070000759,14.736,,$4,584,076
1130729,現金,143070000646,17.569,,$4,601,645
1130729,跨行轉入,143070000651,16.489,,$4,618,134
1130729,跨行轉入,E 1-6 管理,26.289,,$4,644,423
1130729,網路轉帳,143070000783,15.177,,$4,659,600
1130729,跨行轉入,143070000914,19.386,,$4,678,986
1130729,跨行轉入,143070000843,13.039,,$4,692,025
1130729,跨行轉入,143070000775,15.696,B5-1/3,$4,707,721
1130730,跨行轉入,143070000900,16.078,,$4,723,799
1130730,跨行轉入,143070000740,18.704,T7-1,$4,742,503
1130730,跨行轉入,143070000900,15.522(1),$4,758,025
1130730,跨行轉入,143070000740,15.765,,$4,773,790
1130730,中車電信,299 5641693,,$4,773,491,
1130730,電子預約,D 1-3,18.395,,$4,791,886
1130730,卡片轉入,143070000794,11.280,此項已補發完畢,請換頁,$4,803,166
1130730, 跨行轉入, ,17.446,$4,820,612,管理費_24 B6-9
1130730, 現金, ,18.515,$4,839,127,14307000871
1130730, 現金, ,16.707,$4,855,834,14307000726
1130730, 現金, ,10.978,$4,866,812,14307000862
1130730, 跨行轉入, ,26.554,$4,893,366,14307000938
1130730, 跨行轉入, ,38.007,$4,931,373,14307000784
1130730, 跨行轉入, ,16.394,$4,947,767, 郵政管理費 D3-12
1130730, 跨銀轉帳, ,19.972,$4,967,739, A2 -13
1130730, 跨行轉入, ,8.078,$4,975,817,14307000854
1130730, 跨行轉入, ,23.770,$4,999,587,14307000798
1130731, 跨行轉入, ,26.704,$5,026,291,14307000937
1130731, 跨行轉入, ,18.796,$5,045,087, 郵政 B 6 之 12
1130731, 跨行轉入, ,18.854,$5,063,941,14307000897
1130731, 跨行轉入, ,17.569,$5,081,510,14307000652
1130731, 電子提款, ,20.917,$5,102,427, 郵政 C 6-4 F
1130731, 跨行轉入, ,25.120,$5,127,547, 管理費 C1-5
1130731, 跨行轉入, ,18.424,$5,145,971,14307000868
1130731, 跨銀轉帳, ,26.314,$5,172,285, E2 -6
1130731, 跨行轉入, ,16.350,$5,188,635,14307000711
1130731, 跨行轉入, ,16.935,$5,205,570, 管理費 A6-2
1130731, 現金, ,20.917,$5,226,487,14307000831
1130731, 跨行轉入, ,15.000,$5,241,487,14307000719
1130731, 跨行轉入, ,9.658,$5,251,145,14307000861
1130731, 跨銀轉帳, ,27.549,$5,278,694, E 樣 2 檔管理費 E1-2, 此頁已補發完畢, 請核頁
1130731,網路轉帳,0,9458,5288152,
2130731,跨行轉入,0,13680,5301832,
3130731,跨行轉入,0,24004,5325836,
4130731,跨行轉入,管理費,17075,5342911,D1-12
