年月日,摘要,支出,存入,結存,備註
1130603,跨行轉入,0,20000,2867738,
1130605,台電電費,0,41434,2826304,
1130605,匯出匯款,0,48000,2778304,簽大竹水管
1130605,匯出匯款,0,2300,2776004,圖書館購置
1130605,匯出匯款,20030,,"$2,755,974",C9-2運裝
1130605,匯出匯款,22000,,"$2,733,974",5月網路
1130605,匯出匯款,58500,,"$2,675,474",5月電費
1130605,匯出匯款,16000,,"$2,659,474",5月機電
1130605,匯出匯款,103800,,"$2,555,674",5月清潔
1130605,匯出匯款,210000,,"$2,345,674",5月保全物業
1130605,轉帳,141070001058,,"$2,359,617","T6-1 13.943 (11/07)"
1130607,匯出匯款,20030,,"$2,339,587","D1-6運裝"
1130611,轉帳,52375,,"$2,287,212",國壽繳費款
1130613,台水水費,1702,,"$2,285,510","31120354020"
1130614,匯出匯款,15000,,"$2,270,510",國泰油漆
1130620,跨行轉入,149070000387,,"$2,283,321","A2-7 12.811 (10/907)"
1130621,存款息,,"7453","$2,290,774",
1130625,中華電信,,"514 5641692","$2,290,260",
